# Static-research candidates; verifyMinecraftAbi must confirm these in resolved bytecode.
# owner<TAB>M or F<TAB>member<TAB>JVM descriptor
com/mojang/renderpearl/backend/vulkan/VulkanBackend	M	createDevice	(Lcom/mojang/renderpearl/api/device/GpuDebugOptions;)Lcom/mojang/renderpearl/api/device/GpuDevice;
com/mojang/renderpearl/backend/vulkan/VulkanBackend	M	createDevice	(Lcom/mojang/renderpearl/backend/vulkan/init/FeatureSet;Lcom/mojang/renderpearl/backend/vulkan/VulkanPhysicalDevice;)Lorg/lwjgl/vulkan/VkDevice;
com/mojang/renderpearl/backend/vulkan/VulkanBackend	M	createVma	(Lorg/lwjgl/vulkan/VkDevice;)J
com/mojang/renderpearl/backend/vulkan/VulkanBackend	M	findPhysicalDevice	(Lcom/mojang/renderpearl/backend/vulkan/VulkanInstance;Ljava/util/Set;Ljava/util/Set;)Lcom/mojang/renderpearl/backend/vulkan/VulkanPhysicalDevice;
com/mojang/renderpearl/backend/vulkan/VulkanBackend	M	loadLibrary	()V
com/mojang/renderpearl/backend/vulkan/VulkanInstance	M	<init>	(IZZ)V
com/mojang/renderpearl/backend/vulkan/VulkanInstance	M	vkInstance	()Lorg/lwjgl/vulkan/VkInstance;
com/mojang/renderpearl/backend/vulkan/VulkanFeatureSets	M	optionalFeatureSets	()Ljava/util/Set;
com/mojang/renderpearl/backend/vulkan/VulkanPhysicalDevice	M	vkPhysicalDevice	()Lorg/lwjgl/vulkan/VkPhysicalDevice;
com/mojang/renderpearl/backend/vulkan/VulkanDevice	M	vkDevice	()Lorg/lwjgl/vulkan/VkDevice;
com/mojang/renderpearl/backend/vulkan/VulkanDevice	M	vma	()J
com/mojang/renderpearl/backend/vulkan/VulkanDevice	M	graphicsQueue	()Lcom/mojang/renderpearl/backend/vulkan/VulkanQueue;
com/mojang/renderpearl/backend/vulkan/VulkanDevice	M	createCommandEncoder	()Lcom/mojang/renderpearl/backend/vulkan/VulkanCommandEncoder;
com/mojang/renderpearl/backend/vulkan/VulkanDevice	M	close	()V
com/mojang/renderpearl/backend/vulkan/VulkanCommandEncoder	M	allocateAndBeginTransientCommandBuffer	()Lorg/lwjgl/vulkan/VkCommandBuffer;
com/mojang/renderpearl/backend/vulkan/VulkanCommandEncoder	M	execute	(Lorg/lwjgl/vulkan/VkCommandBuffer;)V
com/mojang/renderpearl/backend/vulkan/VulkanCommandEncoder	M	queueForDestroy	(Lcom/mojang/renderpearl/backend/vulkan/Destroyable;)V
com/mojang/renderpearl/backend/vulkan/VulkanCommandEncoder	M	submit	()V
com/mojang/renderpearl/backend/vulkan/VulkanGpuTexture	M	vkImage	()J
com/mojang/renderpearl/backend/vulkan/VulkanGpuTextureView	M	vkImageView	()J
com/mojang/renderpearl/backend/vulkan/VulkanGpuSurface	M	configure	(Lcom/mojang/renderpearl/api/device/GpuSurface$Configuration;)V
com/mojang/renderpearl/backend/vulkan/VulkanGpuSurface	M	acquireNextTexture	()V
com/mojang/renderpearl/backend/vulkan/VulkanGpuSurface	M	present	()V
com/mojang/renderpearl/frontend/FrontendGpuDevice	F	backend	Lcom/mojang/renderpearl/backend/api/GpuDeviceBackend;
net/minecraft/client/renderer/GameRenderer	M	render	()V
net/minecraft/client/renderer/GameRenderer	M	renderLevel	()V
net/minecraft/client/renderer/GameRenderer	M	mainRenderTarget	()Lcom/mojang/blaze3d/pipeline/RenderTarget;
net/minecraft/client/renderer/LevelRenderer	M	render	(Lcom/mojang/blaze3d/resource/GraphicsResourceAllocator;ZLnet/minecraft/client/renderer/state/level/CameraRenderState;Lcom/mojang/renderpearl/api/buffers/GpuBufferSlice;Lorg/joml/Vector4f;ZZ)V
net/minecraft/client/renderer/chunk/SectionRenderDispatcher	M	uploadTerrainBuffersToGpu	()V
net/minecraft/client/renderer/chunk/SectionRenderDispatcher$RenderSection	M	reset	()V
net/minecraft/client/renderer/state/level/CameraRenderState	F	projectionMatrix	Lorg/joml/Matrix4f;
net/minecraft/client/renderer/state/level/CameraRenderState	F	viewRotationMatrix	Lorg/joml/Matrix4f;
net/minecraft/client/Minecraft	M	renderFrame	(Z)V
net/minecraft/client/renderer/ProjectionMatrixBuffer	M	getBuffer	(Lorg/joml/Matrix4f;)Lcom/mojang/renderpearl/api/buffers/GpuBufferSlice;
net/minecraft/client/renderer/GameRenderer	M	render3dHud	(Lnet/minecraft/client/renderer/state/level/CameraRenderState;Lnet/minecraft/client/renderer/state/level/PlayerRenderState;Lnet/minecraft/client/renderer/state/OptionsRenderState;Z)V
net/minecraft/client/renderer/GameRenderer	M	setLevel	(Lnet/minecraft/client/multiplayer/ClientLevel;)V
net/minecraft/client/renderer/chunk/SectionCompiler	M	compile	(Lnet/minecraft/core/SectionPos;Lnet/minecraft/client/renderer/chunk/RenderSectionRegion;Lcom/mojang/blaze3d/vertex/VertexSorting;Lnet/minecraft/client/renderer/SectionBufferBuilderPack;)Lnet/minecraft/client/renderer/chunk/SectionCompiler$Results;
net/minecraft/client/renderer/chunk/SectionCompiler$Results	F	renderedLayers	Ljava/util/Map;
net/minecraft/client/renderer/chunk/CompiledSectionMesh	M	<init>	(Lnet/minecraft/client/renderer/chunk/TranslucencyPointOfView;Lnet/minecraft/client/renderer/chunk/SectionCompiler$Results;J)V
net/minecraft/client/renderer/chunk/SectionRenderDispatcher$RenderSection	M	setSectionMesh	(Lnet/minecraft/client/renderer/chunk/SectionMesh;)Lnet/minecraft/client/renderer/chunk/SectionMesh;
net/minecraft/client/renderer/chunk/SectionRenderDispatcher$RenderSection	M	getSectionNode	()J
net/minecraft/client/renderer/LevelRenderer	M	invalidateCompiledGeometry	(Lnet/minecraft/client/multiplayer/ClientLevel;Lnet/minecraft/client/Options;Lnet/minecraft/client/Camera;Lnet/minecraft/client/color/block/BlockColors;)V
com/mojang/blaze3d/systems/RenderSystem	M	initRenderer	(Lcom/mojang/renderpearl/api/device/GpuDevice;)V
net/minecraft/client/renderer/fog/FogRenderer	M	endFrame	()V
com/mojang/renderpearl/backend/vulkan/VulkanCommandEncoder	M	createFence	()Lcom/mojang/renderpearl/api/commands/GpuFence;
com/mojang/renderpearl/api/commands/GpuFence	M	awaitCompletion	(J)Z
net/minecraft/client/renderer/LevelRenderer	M	sectionRenderDispatcher	()Lnet/minecraft/client/renderer/chunk/SectionRenderDispatcher;
net/minecraft/client/renderer/LevelRenderer	M	viewArea	()Lnet/minecraft/client/renderer/ViewArea;
net/minecraft/client/renderer/ViewArea	M	getRenderSectionAt	(Lnet/minecraft/core/BlockPos;)Lnet/minecraft/client/renderer/chunk/SectionRenderDispatcher$RenderSection;
